339,321,277
339,320,276
338,320,276
339,320,276
338,320,276
338,320,276
338,320,276
338,320,277
339,320,276
338,320,275
339,320,276
339,320,276
339,320,276
339,320,276
407,330,340
408,330,341
407,332,343
408,331,342
408,331,341
408,332,341
407,332,344
407,333,345
408,333,343
408,332,343
407,332,342
407,331,343
408,331,342
407,331,342
407,330,341
407,330,341
336,357,408
337,359,405
339,359,408
337,358,407
337,359,406
338,359,405
337,359,406
339,359,408
337,359,407
339,359,406
338,359,406
337,359,406
277,316,338
277,320,342
273,317,343
274,316,339
279,315,330
270,325,348
276,319,345
283,334,351
275,321,340
281,318,341
331,328,406
341,322,401
342,325,413
328,312,407
340,337,404
335,335,403
324,335,409
324,331,406
339,333,407
322,320,401
322,320,401
404,351,350
406,351,335
405,352,338
404,356,338
404,351,322
402,353,340
406,358,319
404,347,320
407,350,325
407,350,325
405,353,334
344,339,256
346,338,271
354,342,272
340,338,264
336,323,275
343,335,271
343,336,267
336,336,273
360,271,340
351,268,334
350,272,330
344,269,350
357,274,327
349,265,338
366,268,347
364,276,357
354,270,333
351,268,343
351,268,343
277,372,340
307,412,355
335,407,351
311,402,352
320,397,345
340,403,346
345,402,349
346,399,349
317,392,368
336,406,345
336,406,345
274,317,337
275,316,336
274,316,337
275,315,337
275,316,336
274,316,337
274,316,336
275,315,336
275,316,336
274,316,336
338,333,405
338,333,404
337,332,405
338,333,405
338,333,405
337,333,405
337,333,404
337,333,404
337,333,404
338,333,405
337,333,268
336,333,268
337,333,268
338,333,267
338,333,268
340,335,268
340,333,268
338,333,268
345,335,267
340,334,268
340,334,268
358,269,335
356,268,334
358,269,335
358,269,335
359,269,335
358,269,335
358,268,335
359,269,335
359,269,334
359,270,334
320,398,337
321,398,337
320,398,337
319,398,338
320,398,337
319,398,339
319,398,337
319,398,338
320,399,337
320,398,338
320,398,338
335,320,273
335,320,273
331,323,274
314,282,266
348,313,270
361,308,282
304,315,288
344,317,276
313,319,282
342,295,284
351,300,283
327,351,404
325,361,394
335,345,404
346,346,400
316,347,387
314,338,407
329,336,414
330,355,399
331,344,411
361,357,398
322,367,389
319,323,395
334,391,389
316,347,396
307,331,396
336,342,407
299,344,393
328,365,398
267,333,337
276,313,347
281,300,316
271,312,335
277,322,368
275,339,340
264,326,337
271,321,337
278,320,326
273,335,336
270,316,341
272,333,363
271,336,342
270,340,336
403,335,345
404,335,348
403,333,339
400,327,317
404,342,334
401,348,343
402,342,336
403,327,339
402,347,357
389,293,326
402,325,339
395,319,321
404,328,318
400,336,351
408,331,327
335,265,349
344,272,344
341,268,341
342,267,343
348,264,344
350,271,361
325,265,339
330,277,379
334,269,358
302,281,351
343,395,316
342,400,346
350,396,323
340,400,328
340,399,328
352,394,316
349,398,343
345,398,315
325,398,336
357,390,330
348,398,333
