339,320,276,3
338,320,276,3
339,320,276,3
338,320,276,3
338,320,276,3
338,320,276,3
338,320,277,3
339,320,276,3
338,320,275,3
339,320,276,3
339,320,276,3
339,320,276,3
339,320,276,3
407,330,340,5
408,330,341,5
407,332,343,5
408,331,342,5
408,331,341,5
408,332,341,5
407,332,344,5
407,333,345,5
408,333,343,5
408,332,343,5
407,332,342,5
407,331,343,5
408,331,342,5
407,331,342,5
407,330,341,5
407,330,341,5
336,357,408,0
337,359,405,0
339,359,408,0
337,358,407,0
337,359,406,0
338,359,405,0
337,359,406,0
339,359,408,0
337,359,407,0
339,359,406,0
338,359,406,0
337,359,406,0
277,316,338,4
277,320,342,4
273,317,343,4
274,316,339,4
279,315,330,4
270,325,348,4
276,319,345,4
283,334,351,4
275,321,340,4
281,318,341,4
331,328,406,0
341,322,401,0
342,325,413,0
328,312,407,0
340,337,404,0
335,335,403,0
324,335,409,0
324,331,406,0
339,333,407,0
322,320,401,0
322,320,401,0
404,351,350,5
406,351,335,5
405,352,338,5
404,356,338,5
404,351,322,5
402,353,340,5
406,358,319,5
404,347,320,5
407,350,325,5
407,350,325,5
405,353,334,5
344,339,256,3
346,338,271,3
354,342,272,3
340,338,264,3
336,323,275,3
343,335,271,3
343,336,267,3
336,336,273,3
360,271,340,1
351,268,334,1
350,272,330,1
344,269,350,1
357,274,327,1
349,265,338,1
366,268,347,1
364,276,357,1
354,270,333,1
351,268,343,1
351,268,343,1
277,372,340,4
307,412,355,2
335,407,351,2
311,402,352,2
320,397,345,2
340,403,346,2
345,402,349,2
346,399,349,2
317,392,368,2
336,406,345,2
336,406,345,2
274,317,337,4
275,316,336,4
274,316,337,4
275,315,337,4
275,316,336,4
274,316,337,4
274,316,336,4
275,315,336,4
275,316,336,4
274,316,336,4
338,333,405,0
338,333,404,0
337,332,405,0
338,333,405,0
338,333,405,0
337,333,405,0
337,333,404,0
337,333,404,0
337,333,404,0
338,333,405,0
337,333,268,3
336,333,268,3
337,333,268,3
338,333,267,3
338,333,268,3
340,335,268,3
340,333,268,3
338,333,268,3
345,335,267,3
340,334,268,3
340,334,268,3
358,269,335,1
356,268,334,1
358,269,335,1
358,269,335,1
359,269,335,1
358,269,335,1
358,268,335,1
359,269,335,1
359,269,334,1
359,270,334,1
320,398,337,2
321,398,337,2
320,398,337,2
319,398,338,2
320,398,337,2
319,398,339,2
319,398,337,2
319,398,338,2
320,399,337,2
320,398,338,2
320,398,338,2
